timestamp,client_ip,query,response,response_type,ttl,is_spoofed,attack_label
2025-04-08 09:14:29.221870,192.168.1.53,www.test.com,112.22.91.233,A,2978,False,0
2025-04-08 08:46:29.221870,192.168.1.77,www.test.com,193.19.186.136,AAAA,3498,False,0
2025-04-08 08:16:29.221870,192.168.1.15,payments.service.com,192.168.1.100,A,96,True,1
2025-04-08 08:18:29.221870,192.168.1.21,login.example.com,10.0.0.15,A,272,True,1
2025-04-08 08:44:29.221870,192.168.1.84,www.example.org,210.53.242.98,A,2988,False,0
2025-04-08 07:54:29.221870,192.168.1.91,www.example.org,173.172.40.5,AAAA,1250,False,0
2025-04-08 09:38:29.221870,192.168.1.87,www.example.org,20.50.220.125,AAAA,2859,False,0
2025-04-08 08:06:29.221870,192.168.1.99,www.example.org,60.203.195.242,AAAA,3349,False,0
2025-04-08 08:45:29.221870,192.168.1.55,www.example.org,18.193.24.22,AAAA,2727,False,0
2025-04-08 07:58:29.221870,192.168.1.80,www.example.org,106.85.105.93,A,2171,False,0
2025-04-08 09:03:29.221870,192.168.1.95,www.test.com,108.70.121.94,AAAA,1045,False,0
2025-04-08 07:58:29.221870,192.168.1.61,www.test.com,132.63.228.228,A,3217,False,0
2025-04-08 09:40:29.221870,192.168.1.11,login.example.com,10.0.0.15,A,288,True,1
2025-04-08 08:57:29.221870,192.168.1.58,www.example.org,10.28.34.178,A,1718,False,0
2025-04-08 09:12:29.221870,192.168.1.98,www.test.com,184.240.42.22,AAAA,2824,False,0
2025-04-08 09:42:29.221870,192.168.1.63,www.example.org,13.111.191.119,A,3561,False,0
2025-04-08 07:57:29.221870,192.168.1.36,bank.com,10.0.0.15,A,207,True,1
2025-04-08 07:56:29.221870,192.168.1.52,www.test.com,218.10.177.204,AAAA,3159,False,0
2025-04-08 09:06:29.221870,192.168.1.81,www.example.org,136.107.126.246,A,2706,False,0
2025-04-08 09:00:29.221870,192.168.1.97,www.test.com,191.57.243.179,A,398,False,0
2025-04-08 08:59:29.221870,192.168.1.27,bank.com,10.0.0.15,A,191,True,1
2025-04-08 07:54:29.221870,192.168.1.73,www.test.com,24.104.93.134,AAAA,3387,False,0
2025-04-08 09:49:29.221870,192.168.1.66,www.example.org,154.121.154.192,A,659,False,0
2025-04-08 07:56:29.221870,192.168.1.59,www.example.org,138.38.111.152,AAAA,1945,False,0
2025-04-08 09:42:29.221870,192.168.1.4,login.example.com,192.168.1.100,A,176,True,1
2025-04-08 07:52:29.221870,192.168.1.54,www.example.org,61.190.132.81,A,3337,False,0
2025-04-08 08:07:29.221870,192.168.1.56,www.example.org,220.243.60.96,AAAA,3389,False,0
2025-04-08 08:45:29.221870,192.168.1.10,login.example.com,10.0.0.15,A,186,True,1
2025-04-08 09:48:29.221870,192.168.1.51,www.test.com,114.195.155.104,A,3060,False,0
2025-04-08 09:38:29.221870,192.168.1.62,www.example.org,27.80.209.132,AAAA,1968,False,0
2025-04-08 08:18:29.221870,192.168.1.54,www.test.com,231.26.189.27,A,749,False,0
2025-04-08 09:03:29.221870,192.168.1.89,www.test.com,229.37.68.172,AAAA,2288,False,0
2025-04-08 08:35:29.221870,192.168.1.83,www.example.org,11.209.67.25,A,340,False,0
2025-04-08 09:38:29.221870,192.168.1.60,www.test.com,123.229.37.160,A,488,False,0
2025-04-08 09:09:29.221870,192.168.1.68,www.example.org,192.62.218.103,A,3181,False,0
2025-04-08 08:44:29.221870,192.168.1.99,www.test.com,103.129.64.21,AAAA,1410,False,0
2025-04-08 08:49:29.221870,192.168.1.88,www.example.org,210.105.92.150,A,2753,False,0
2025-04-08 08:41:29.221870,192.168.1.65,www.example.org,174.230.103.176,A,3069,False,0
2025-04-08 08:37:29.221870,192.168.1.75,www.example.org,21.161.188.100,A,2029,False,0
2025-04-08 09:05:29.221870,192.168.1.89,www.test.com,187.247.110.120,A,1407,False,0
2025-04-08 08:11:29.221870,192.168.1.76,www.example.org,147.246.170.28,AAAA,2888,False,0
2025-04-08 08:21:29.221870,192.168.1.36,payments.service.com,10.0.0.15,A,227,True,1
2025-04-08 08:07:29.221870,192.168.1.58,www.example.org,9.7.239.90,AAAA,3406,False,0
2025-04-08 08:37:29.221870,192.168.1.39,payments.service.com,192.168.1.100,A,78,True,1
2025-04-08 08:54:29.221870,192.168.1.78,www.example.org,14.243.198.55,AAAA,2978,False,0
2025-04-08 08:19:29.221870,192.168.1.1,bank.com,10.0.0.15,A,191,True,1
2025-04-08 09:42:29.221870,192.168.1.96,www.test.com,207.246.220.152,AAAA,3585,False,0
2025-04-08 08:24:29.221870,192.168.1.21,bank.com,192.168.1.100,A,93,True,1
2025-04-08 09:31:29.221870,192.168.1.46,bank.com,10.0.0.15,A,168,True,1
2025-04-08 09:28:29.221870,192.168.1.59,www.example.org,140.204.134.192,AAAA,2005,False,0
2025-04-08 07:57:29.221870,192.168.1.86,www.test.com,42.49.3.143,AAAA,2309,False,0
2025-04-08 08:46:29.221870,192.168.1.67,www.test.com,70.94.82.22,AAAA,313,False,0
2025-04-08 08:03:29.221870,192.168.1.65,www.test.com,173.198.232.5,AAAA,2485,False,0
2025-04-08 09:37:29.221870,192.168.1.68,www.test.com,211.163.34.251,A,969,False,0
2025-04-08 08:15:29.221870,192.168.1.53,www.example.org,102.43.20.246,AAAA,2761,False,0
2025-04-08 08:03:29.221870,192.168.1.64,www.test.com,190.116.74.182,AAAA,717,False,0
2025-04-08 09:28:29.221870,192.168.1.80,www.example.org,213.175.200.232,AAAA,1757,False,0
2025-04-08 09:23:29.221870,192.168.1.88,www.test.com,69.232.61.27,AAAA,2529,False,0
2025-04-08 08:36:29.221870,192.168.1.59,www.test.com,117.51.51.110,A,1399,False,0
2025-04-08 09:13:29.221870,192.168.1.85,www.example.org,19.143.93.149,A,2470,False,0
2025-04-08 08:59:29.221870,192.168.1.27,login.example.com,192.168.1.100,A,124,True,1
2025-04-08 07:58:29.221870,192.168.1.95,www.example.org,168.57.151.244,A,3110,False,0
2025-04-08 09:47:29.221870,192.168.1.88,www.test.com,117.26.187.101,AAAA,1994,False,0
2025-04-08 08:07:29.221870,192.168.1.51,www.test.com,137.115.80.69,AAAA,1165,False,0
2025-04-08 08:40:29.221870,192.168.1.74,www.example.org,235.72.182.114,AAAA,487,False,0
2025-04-08 09:43:29.221870,192.168.1.26,bank.com,192.168.1.100,A,219,True,1
2025-04-08 08:16:29.221870,192.168.1.26,payments.service.com,10.0.0.15,A,210,True,1
2025-04-08 08:23:29.222459,192.168.1.99,www.test.com,33.83.206.212,A,1205,False,0
2025-04-08 08:51:29.222459,192.168.1.55,www.example.org,120.145.113.55,A,1421,False,0
2025-04-08 08:19:29.222459,192.168.1.37,bank.com,10.0.0.15,A,219,True,1
2025-04-08 09:09:29.222459,192.168.1.23,payments.service.com,10.0.0.15,A,281,True,1
2025-04-08 07:55:29.222459,192.168.1.35,payments.service.com,10.0.0.15,A,258,True,1
2025-04-08 08:11:29.222459,192.168.1.84,www.example.org,234.217.99.109,A,1862,False,0
2025-04-08 09:19:29.222459,192.168.1.44,login.example.com,192.168.1.100,A,97,True,1
2025-04-08 08:28:29.222459,192.168.1.85,www.test.com,127.255.197.213,A,722,False,0
2025-04-08 08:55:29.222459,192.168.1.85,www.example.org,242.254.232.63,AAAA,1671,False,0
2025-04-08 09:48:29.222459,192.168.1.70,www.example.org,217.194.201.36,A,2290,False,0
2025-04-08 09:19:29.222459,192.168.1.43,bank.com,192.168.1.100,A,163,True,1
2025-04-08 08:19:29.222459,192.168.1.84,www.example.org,99.217.90.149,A,1011,False,0
2025-04-08 09:08:29.222459,192.168.1.21,payments.service.com,192.168.1.100,A,245,True,1
2025-04-08 07:49:29.222459,192.168.1.34,login.example.com,192.168.1.100,A,225,True,1
2025-04-08 08:37:29.222459,192.168.1.90,www.test.com,102.32.38.168,A,3188,False,0
2025-04-08 08:34:29.222459,192.168.1.100,www.example.org,65.15.173.243,A,1836,False,0
2025-04-08 08:04:29.222459,192.168.1.10,payments.service.com,10.0.0.15,A,258,True,1
2025-04-08 09:14:29.222459,192.168.1.66,www.test.com,151.90.47.63,AAAA,946,False,0
2025-04-08 08:03:29.222459,192.168.1.16,bank.com,192.168.1.100,A,195,True,1
2025-04-08 08:06:29.222459,192.168.1.6,bank.com,192.168.1.100,A,141,True,1
2025-04-08 08:41:29.222459,192.168.1.11,payments.service.com,10.0.0.15,A,250,True,1
2025-04-08 09:48:29.222459,192.168.1.99,www.test.com,33.189.39.108,A,2915,False,0
2025-04-08 08:33:29.222459,192.168.1.10,bank.com,10.0.0.15,A,160,True,1
2025-04-08 08:18:29.222459,192.168.1.30,login.example.com,10.0.0.15,A,278,True,1
2025-04-08 08:53:29.222459,192.168.1.90,www.example.org,97.222.155.8,A,2450,False,0
2025-04-08 09:32:29.222459,192.168.1.19,payments.service.com,10.0.0.15,A,97,True,1
2025-04-08 08:56:29.222459,192.168.1.41,payments.service.com,10.0.0.15,A,222,True,1
2025-04-08 09:42:29.222459,192.168.1.78,www.test.com,175.43.48.166,AAAA,2377,False,0
2025-04-08 08:49:29.222459,192.168.1.86,www.test.com,36.90.98.195,A,3591,False,0
2025-04-08 09:17:29.222459,192.168.1.63,www.example.org,250.218.36.85,A,532,False,0
2025-04-08 09:39:29.222459,192.168.1.70,www.test.com,129.246.88.253,AAAA,1242,False,0
2025-04-08 09:17:29.222459,192.168.1.71,www.test.com,199.138.122.96,AAAA,1280,False,0
2025-04-08 09:07:29.222459,192.168.1.42,login.example.com,10.0.0.15,A,255,True,1
2025-04-08 09:36:29.222459,192.168.1.45,login.example.com,10.0.0.15,A,84,True,1
2025-04-08 08:36:29.222459,192.168.1.66,www.test.com,192.167.132.143,AAAA,2111,False,0
2025-04-08 09:20:29.222459,192.168.1.83,www.test.com,67.200.254.83,A,321,False,0
