timestamp,source_ip,destination_ip,method,data_type,data_size,is_encrypted,attack_label
2025-04-07 22:49:29.251205,10.0.0.85,10.0.1.9,HTTP,Normal,590,True,0
2025-04-07 17:49:29.248989,10.0.0.58,10.0.1.28,HTTP,Normal,1439,True,0
2025-04-08 06:49:29.252851,10.0.0.68,10.0.1.25,HTTP,Normal,1926,True,0
2025-04-08 01:49:29.249557,10.0.0.32,167.57.221.193,DNS,Credentials,28649,False,1
2025-04-08 01:49:29.251205,10.0.0.98,10.0.1.40,HTTP,Normal,1908,True,0
2025-04-07 22:49:29.250107,10.0.0.69,10.0.1.44,HTTP,Normal,1172,True,0
2025-04-08 02:49:29.250658,10.0.0.11,198.231.81.75,HTTP,Credentials,29224,False,1
2025-04-07 23:49:29.248989,10.0.0.89,10.0.1.44,HTTP,Normal,1464,True,0
2025-04-08 01:49:29.253944,10.0.0.81,10.0.1.35,HTTP,Normal,1352,True,0
2025-04-07 22:49:29.250658,10.0.0.43,133.161.4.149,DNS,Credentials,47494,True,1
2025-04-08 09:49:29.253398,10.0.0.94,10.0.1.47,HTTP,Normal,1853,True,0
2025-04-08 06:49:29.255614,10.0.0.99,10.0.1.12,HTTP,Normal,1378,True,0
2025-04-07 22:49:29.258439,10.0.0.65,10.0.1.38,HTTP,Normal,1935,True,0
2025-04-08 06:49:29.253398,10.0.0.86,10.0.1.43,HTTP,Normal,1870,True,0
2025-04-08 06:49:29.252851,10.0.0.66,10.0.1.43,HTTP,Normal,1988,True,0
2025-04-07 10:49:29.250658,10.0.0.51,10.0.1.12,HTTP,Normal,1211,True,0
2025-04-07 09:49:29.252298,10.0.0.42,86.149.109.23,HTTP,API Keys,37973,False,1
2025-04-07 17:49:29.255064,10.0.0.50,17.203.51.239,HTTP,Credit Card,23712,False,1
2025-04-08 08:49:29.254500,10.0.0.24,18.97.57.175,HTTP,Credentials,6812,False,1
2025-04-07 14:49:29.253398,10.0.0.96,10.0.1.7,HTTP,Normal,1632,True,0
2025-04-08 03:49:29.253398,10.0.0.47,150.227.120.190,DNS,Credentials,30586,False,1
2025-04-07 20:49:29.254500,10.0.0.59,10.0.1.34,HTTP,Normal,1321,True,0
2025-04-07 09:49:29.251205,10.0.0.82,10.0.1.29,HTTP,Normal,1729,True,0
2025-04-07 13:49:29.256161,10.0.0.54,10.0.1.37,HTTP,Normal,1354,True,0
2025-04-07 13:49:29.256728,10.0.0.83,10.0.1.33,HTTP,Normal,1203,True,0
2025-04-07 18:49:29.253398,10.0.0.40,164.217.197.214,ICMP,API Keys,49438,True,1
2025-04-07 13:49:29.251752,10.0.0.75,10.0.1.9,HTTP,Normal,1494,True,0
2025-04-07 19:49:29.248989,10.0.0.52,10.0.1.17,HTTP,Normal,1641,True,0
2025-04-07 21:49:29.253398,10.0.0.67,10.0.1.40,HTTP,Normal,1381,True,0
2025-04-07 17:49:29.253944,10.0.0.84,10.0.1.32,HTTP,Normal,1350,True,0
2025-04-07 12:49:29.253398,10.0.0.18,89.201.28.181,HTTP,Credentials,4935,True,1
2025-04-07 14:49:29.250107,10.0.0.87,10.0.1.44,HTTP,Normal,1171,True,0
2025-04-08 07:49:29.252298,10.0.0.10,222.20.238.198,FTP,Credentials,10740,False,1
2025-04-07 19:49:29.249557,10.0.0.52,10.0.1.14,HTTP,Normal,1670,True,0
2025-04-08 05:49:29.249557,10.0.0.82,10.0.1.16,HTTP,Normal,920,True,0
2025-04-08 06:49:29.257867,10.0.0.97,10.0.1.22,HTTP,Normal,1988,True,0
2025-04-08 08:49:29.252851,10.0.0.63,10.0.1.47,HTTP,Normal,1445,True,0
2025-04-07 12:49:29.253944,10.0.0.47,31.21.203.39,DNS,Credit Card,6688,False,1
2025-04-07 09:49:29.256728,10.0.0.68,10.0.1.30,HTTP,Normal,904,True,0
2025-04-08 08:49:29.254500,10.0.0.70,10.0.1.42,HTTP,Normal,1271,True,0
2025-04-07 15:49:29.251205,10.0.0.72,10.0.1.31,HTTP,Normal,895,True,0
2025-04-07 22:49:29.255064,10.0.0.75,10.0.1.31,HTTP,Normal,1703,True,0
2025-04-07 14:49:29.252851,10.0.0.69,10.0.1.33,HTTP,Normal,539,True,0
2025-04-07 20:49:29.254500,10.0.0.21,135.243.234.93,HTTP,Credentials,44390,True,1
2025-04-08 07:49:29.253944,10.0.0.89,10.0.1.11,HTTP,Normal,1659,True,0
2025-04-08 04:49:29.252298,10.0.0.88,10.0.1.31,HTTP,Normal,1017,True,0
2025-04-07 17:49:29.253944,10.0.0.69,10.0.1.4,HTTP,Normal,1186,True,0
2025-04-08 03:49:29.248425,10.0.0.73,10.0.1.33,HTTP,Normal,1766,True,0
2025-04-07 16:49:29.256728,10.0.0.88,10.0.1.34,HTTP,Normal,1571,True,0
2025-04-08 04:49:29.258439,10.0.0.51,10.0.1.48,HTTP,Normal,1398,True,0
2025-04-07 11:49:29.254500,10.0.0.73,10.0.1.40,HTTP,Normal,1746,True,0
2025-04-07 19:49:29.251205,10.0.0.52,10.0.1.19,HTTP,Normal,1590,True,0
2025-04-07 11:49:29.251752,10.0.0.82,10.0.1.45,HTTP,Normal,1401,True,0
2025-04-07 20:49:29.249557,10.0.0.68,10.0.1.7,HTTP,Normal,1899,True,0
2025-04-07 23:49:29.251205,10.0.0.73,10.0.1.19,HTTP,Normal,805,True,0
2025-04-08 04:49:29.252851,10.0.0.59,10.0.1.27,HTTP,Normal,1506,True,0
2025-04-08 05:49:29.253944,10.0.0.58,10.0.1.47,HTTP,Normal,1239,True,0
2025-04-07 15:49:29.256161,10.0.0.67,10.0.1.14,HTTP,Normal,1396,True,0
2025-04-08 03:49:29.249557,10.0.0.67,10.0.1.32,HTTP,Normal,1525,True,0
2025-04-07 18:49:29.251752,10.0.0.1,95.84.215.143,DNS,Credentials,11262,True,1
2025-04-07 17:49:29.251205,10.0.0.88,10.0.1.10,HTTP,Normal,566,True,0
2025-04-07 16:49:29.257292,10.0.0.100,10.0.1.22,HTTP,Normal,1522,True,0
2025-04-08 00:49:29.249557,10.0.0.72,10.0.1.16,HTTP,Normal,1594,True,0
2025-04-07 22:49:29.250658,10.0.0.62,10.0.1.36,HTTP,Normal,961,True,0
2025-04-08 09:49:29.252298,10.0.0.59,10.0.1.48,HTTP,Normal,1275,True,0
2025-04-08 08:49:29.248989,10.0.0.59,10.0.1.5,HTTP,Normal,1724,True,0
2025-04-07 09:49:29.248989,10.0.0.79,10.0.1.37,HTTP,Normal,651,True,0
2025-04-07 10:49:29.255064,10.0.0.91,10.0.1.39,HTTP,Normal,1282,True,0
2025-04-07 15:49:29.250107,10.0.0.68,10.0.1.28,HTTP,Normal,1161,True,0
2025-04-08 01:49:29.251752,10.0.0.66,10.0.1.14,HTTP,Normal,1773,True,0
2025-04-07 09:49:29.256161,10.0.0.79,10.0.1.47,HTTP,Normal,677,True,0
2025-04-07 16:49:29.257867,10.0.0.89,10.0.1.4,HTTP,Normal,1834,True,0
2025-04-07 13:49:29.252298,10.0.0.60,10.0.1.10,HTTP,Normal,1547,True,0
2025-04-07 12:49:29.255064,10.0.0.76,10.0.1.18,HTTP,Normal,1748,True,0
2025-04-08 01:49:29.250658,10.0.0.76,10.0.1.12,HTTP,Normal,667,True,0
2025-04-08 04:49:29.253398,10.0.0.71,10.0.1.8,HTTP,Normal,1613,True,0
2025-04-08 03:49:29.253944,10.0.0.90,10.0.1.47,HTTP,Normal,1223,True,0
2025-04-07 16:49:29.253944,10.0.0.93,10.0.1.33,HTTP,Normal,1477,True,0
2025-04-08 08:49:29.252298,10.0.0.62,10.0.1.42,HTTP,Normal,1975,True,0
2025-04-07 09:49:29.252851,10.0.0.93,10.0.1.17,HTTP,Normal,645,True,0
2025-04-07 15:49:29.251752,10.0.0.84,10.0.1.21,HTTP,Normal,740,True,0
2025-04-08 05:49:29.255064,10.0.0.92,10.0.1.22,HTTP,Normal,1241,True,0
2025-04-07 21:49:29.255614,10.0.0.75,10.0.1.48,HTTP,Normal,1323,True,0
2025-04-07 22:49:29.258439,10.0.0.58,10.0.1.40,HTTP,Normal,1643,True,0
2025-04-07 23:49:29.252851,10.0.0.65,10.0.1.44,HTTP,Normal,540,True,0
2025-04-08 08:49:29.257292,10.0.0.51,10.0.1.49,HTTP,Normal,1736,True,0
2025-04-08 05:49:29.251205,10.0.0.65,10.0.1.32,HTTP,Normal,1685,True,0
2025-04-08 04:49:29.250107,10.0.0.66,10.0.1.9,HTTP,Normal,1954,True,0
2025-04-07 21:49:29.251205,10.0.0.99,10.0.1.10,HTTP,Normal,745,True,0
2025-04-07 10:49:29.248425,10.0.0.16,130.114.201.137,ICMP,API Keys,46521,False,1
2025-04-08 01:49:29.250658,10.0.0.55,10.0.1.49,HTTP,Normal,992,True,0
2025-04-08 02:49:29.257292,10.0.0.91,10.0.1.3,HTTP,Normal,1204,True,0
2025-04-07 13:49:29.257867,10.0.0.79,10.0.1.15,HTTP,Normal,1982,True,0
2025-04-07 14:49:29.251205,10.0.0.58,10.0.1.40,HTTP,Normal,1635,True,0
2025-04-08 09:49:29.249557,10.0.0.75,10.0.1.30,HTTP,Normal,1864,True,0
2025-04-07 11:49:29.255064,10.0.0.31,231.123.69.209,DNS,Credentials,15314,False,1
2025-04-08 09:49:29.251205,10.0.0.86,10.0.1.3,HTTP,Normal,984,True,0
2025-04-07 12:49:29.251205,10.0.0.74,10.0.1.35,HTTP,Normal,936,True,0
2025-04-08 08:49:29.258439,10.0.0.54,10.0.1.40,HTTP,Normal,932,True,0
2025-04-07 13:49:29.253944,10.0.0.59,10.0.1.3,HTTP,Normal,772,True,0
2025-04-07 12:49:29.253944,10.0.0.69,10.0.1.48,HTTP,Normal,546,True,0
2025-04-07 12:49:29.252298,10.0.0.27,209.171.143.114,DNS,Credentials,7674,False,1
2025-04-08 09:49:29.250658,10.0.0.21,152.138.214.80,ICMP,API Keys,28689,True,1
2025-04-07 21:49:29.253398,10.0.0.93,10.0.1.30,HTTP,Normal,1743,True,0
2025-04-07 21:49:29.257292,10.0.0.91,10.0.1.11,HTTP,Normal,1573,True,0
2025-04-08 08:49:29.255064,10.0.0.8,252.33.178.31,HTTP,API Keys,18738,True,1
2025-04-07 22:49:29.253944,10.0.0.76,10.0.1.26,HTTP,Normal,1096,True,0
2025-04-08 04:49:29.252298,10.0.0.46,80.145.188.207,DNS,Credit Card,40263,True,1
2025-04-07 12:49:29.250658,10.0.0.69,10.0.1.8,HTTP,Normal,889,True,0
2025-04-07 12:49:29.255614,10.0.0.96,10.0.1.34,HTTP,Normal,1389,True,0
2025-04-07 13:49:29.252298,10.0.0.89,10.0.1.38,HTTP,Normal,1491,True,0
2025-04-08 02:49:29.249557,10.0.0.58,10.0.1.9,HTTP,Normal,1522,True,0
2025-04-08 03:49:29.253398,10.0.0.9,96.14.239.83,HTTP,Credit Card,17999,False,1
2025-04-07 13:49:29.248425,10.0.0.59,10.0.1.1,HTTP,Normal,935,True,0
2025-04-08 01:49:29.252298,10.0.0.93,10.0.1.16,HTTP,Normal,1895,True,0
2025-04-08 02:49:29.250658,10.0.0.53,10.0.1.13,HTTP,Normal,864,True,0
2025-04-07 17:49:29.256728,10.0.0.50,46.39.217.206,DNS,API Keys,26856,True,1
2025-04-07 22:49:29.250107,10.0.0.51,10.0.1.39,HTTP,Normal,841,True,0
2025-04-07 09:49:29.256161,10.0.0.55,10.0.1.25,HTTP,Normal,890,True,0
2025-04-07 21:49:29.257867,10.0.0.67,10.0.1.11,HTTP,Normal,1335,True,0
2025-04-08 00:49:29.253944,10.0.0.79,10.0.1.26,HTTP,Normal,1134,True,0
2025-04-07 18:49:29.249557,10.0.0.48,123.224.253.76,FTP,API Keys,39782,True,1
2025-04-08 06:49:29.250107,10.0.0.77,10.0.1.5,HTTP,Normal,640,True,0
2025-04-07 13:49:29.257292,10.0.0.25,78.108.247.203,ICMP,Credentials,9531,True,1
2025-04-08 00:49:29.255064,10.0.0.25,229.34.194.191,DNS,Credentials,31677,True,1
2025-04-07 11:49:29.251205,10.0.0.56,10.0.1.48,HTTP,Normal,1822,True,0
2025-04-07 20:49:29.250107,10.0.0.80,10.0.1.29,HTTP,Normal,1474,True,0
2025-04-07 20:49:29.248989,10.0.0.23,80.130.52.213,DNS,API Keys,18217,True,1
2025-04-07 18:49:29.248425,10.0.0.88,10.0.1.17,HTTP,Normal,1968,True,0
2025-04-08 03:49:29.251205,10.0.0.74,10.0.1.18,HTTP,Normal,1069,True,0
