timestamp,source_ip,destination_ip,protocol,action,data_size,is_encrypted,attack_label
2025-04-08 09:15:29.207542,10.0.0.43,192.168.1.37,FTP,SSL Stripping,2859,False,1
2025-04-08 08:52:29.211593,10.0.0.28,10.0.0.67,HTTP,Normal,1998,True,0
2025-04-08 09:42:29.202855,10.0.0.17,192.168.1.43,SMTP,Session Hijack,4225,False,1
2025-04-08 09:38:29.203988,10.0.0.11,192.168.1.11,SMTP,SSL Stripping,4703,False,1
2025-04-08 08:50:29.191996,10.0.0.13,192.168.1.12,FTP,Session Hijack,681,True,1
2025-04-08 09:30:29.193154,10.0.0.6,192.168.1.30,HTTP,SSL Stripping,1532,True,1
2025-04-08 09:37:29.202207,10.0.0.41,192.168.1.38,FTP,SSL Stripping,3639,False,1
2025-04-08 09:02:29.202207,10.0.0.19,192.168.1.17,HTTP,Session Hijack,370,True,1
2025-04-08 09:44:29.208734,10.0.0.20,192.168.1.28,FTP,Packet Capture,835,True,1
2025-04-08 09:45:29.202207,10.0.0.29,192.168.1.4,HTTP,Packet Capture,4958,True,1
2025-04-08 08:54:29.206190,10.0.0.39,192.168.1.35,HTTPS,SSL Stripping,4945,True,1
2025-04-08 09:49:29.210430,10.0.0.9,10.0.0.100,HTTP,Normal,1325,True,0
2025-04-08 08:54:29.203425,10.0.0.29,192.168.1.21,SMTP,Session Hijack,976,True,1
2025-04-08 09:17:29.191405,10.0.0.17,192.168.1.15,HTTPS,Packet Capture,4787,False,1
2025-04-08 08:51:29.187380,10.0.0.3,192.168.1.19,HTTP,SSL Stripping,3245,False,1
2025-04-08 09:17:29.197196,10.0.0.50,192.168.1.10,HTTPS,Session Hijack,4428,True,1
2025-04-08 08:49:29.198347,10.0.0.3,192.168.1.42,HTTPS,SSL Stripping,4250,False,1
2025-04-08 09:33:29.211028,10.0.0.39,10.0.0.53,HTTPS,Normal,969,True,0
2025-04-08 09:35:29.213254,10.0.0.31,10.0.0.71,HTTP,Normal,707,True,0
2025-04-08 09:23:29.211593,10.0.0.16,10.0.0.83,HTTPS,Normal,558,True,0
2025-04-08 09:40:29.200093,10.0.0.48,192.168.1.22,HTTP,Packet Capture,1785,True,1
2025-04-08 09:40:29.196619,10.0.0.39,192.168.1.16,HTTPS,Session Hijack,641,True,1
2025-04-08 09:45:29.197770,10.0.0.6,192.168.1.45,SMTP,Session Hijack,3708,True,1
2025-04-08 09:45:29.211028,10.0.0.20,10.0.0.86,HTTPS,Normal,1379,True,0
2025-04-08 09:33:29.208734,10.0.0.3,10.0.0.88,HTTPS,Normal,896,True,0
2025-04-08 09:44:29.188114,10.0.0.31,192.168.1.30,SMTP,Packet Capture,3041,False,1
2025-04-08 09:24:29.195481,10.0.0.30,192.168.1.4,HTTP,SSL Stripping,2379,True,1
2025-04-08 09:45:29.208734,10.0.0.47,192.168.1.23,SMTP,Packet Capture,3798,True,1
2025-04-08 09:21:29.185411,10.0.0.31,192.168.1.25,FTP,Session Hijack,4817,False,1
2025-04-08 09:09:29.197196,10.0.0.9,192.168.1.48,SMTP,SSL Stripping,4839,True,1
2025-04-08 09:44:29.187380,10.0.0.10,192.168.1.8,SMTP,Session Hijack,3490,True,1
2025-04-08 09:01:29.206797,10.0.0.48,192.168.1.41,FTP,Session Hijack,920,False,1
2025-04-08 08:58:29.202207,10.0.0.50,192.168.1.7,FTP,Packet Capture,991,False,1
